# rem_bits first_diff input_index output_index
8 0 0 256
7 0 256 1280
6 0 1280 3072
5 0 3072 4864
4 0 4864 5984
3 0 5984 6432
2 0 6432 6544
1 0 6544 6560
1 1 6546 6561
2 1 6436 6548
1 1 6548 6561
2 2 6440 6550
3 1 5992 6444
2 1 6444 6550
1 1 6550 6561
2 2 6448 6552
3 2 6000 6452
2 2 6452 6552
3 3 6008 6456
4 1 4880 6016
3 1 6016 6456
2 1 6456 6552
1 1 6552 6561
2 2 6460 6554
3 2 6024 6464
2 2 6464 6554
3 3 6032 6468
4 2 4896 6040
3 2 6040 6468
2 2 6468 6554
3 3 6048 6472
4 3 4912 6056
3 3 6056 6472
4 4 4928 6064
5 1 3104 4944
4 1 4944 6064
3 1 6064 6472
2 1 6472 6554
1 1 6554 6561
2 2 6476 6556
3 2 6072 6480
2 2 6480 6556
3 3 6080 6484
4 2 4960 6088
3 2 6088 6484
2 2 6484 6556
3 3 6096 6488
4 3 4976 6104
3 3 6104 6488
4 4 4992 6112
5 2 3136 5008
4 2 5008 6112
3 2 6112 6488
2 2 6488 6556
3 3 6120 6492
4 3 5024 6128
3 3 6128 6492
4 4 5040 6136
5 3 3168 5056
4 3 5056 6136
3 3 6136 6492
4 4 5072 6144
5 4 3200 5088
4 4 5088 6144
5 5 3232 5104
6 1 1344 3264
5 1 3264 5104
4 1 5104 6144
3 1 6144 6492
2 1 6492 6556
1 1 6556 6561
2 2 6496 6558
3 2 6152 6500
2 2 6500 6558
3 3 6160 6504
4 2 5120 6168
3 2 6168 6504
2 2 6504 6558
3 3 6176 6508
4 3 5136 6184
3 3 6184 6508
4 4 5152 6192
5 2 3296 5168
4 2 5168 6192
3 2 6192 6508
2 2 6508 6558
3 3 6200 6512
4 3 5184 6208
3 3 6208 6512
4 4 5200 6216
5 3 3328 5216
4 3 5216 6216
3 3 6216 6512
4 4 5232 6224
5 4 3360 5248
4 4 5248 6224
5 5 3392 5264
6 2 1408 3424
5 2 3424 5264
4 2 5264 6224
3 2 6224 6512
2 2 6512 6558
3 3 6232 6516
4 3 5280 6240
3 3 6240 6516
4 4 5296 6248
5 3 3456 5312
4 3 5312 6248
3 3 6248 6516
4 4 5328 6256
5 4 3488 5344
4 4 5344 6256
5 5 3520 5360
6 3 1472 3552
5 3 3552 5360
4 3 5360 6256
3 3 6256 6516
4 4 5376 6264
5 4 3584 5392
4 4 5392 6264
5 5 3616 5408
6 4 1536 3648
5 4 3648 5408
4 4 5408 6264
5 5 3680 5424
6 5 1600 3712
5 5 3712 5424
6 6 1664 3744
7 1 384 1728
6 1 1728 3744
5 1 3744 5424
4 1 5424 6264
3 1 6264 6516
2 1 6516 6558
1 1 6558 6561
2 2 6520 6560
3 2 6272 6524
2 2 6524 6560
3 3 6280 6528
4 2 5440 6288
3 2 6288 6528
2 2 6528 6560
3 3 6296 6532
4 3 5456 6304
3 3 6304 6532
4 4 5472 6312
5 2 3776 5488
4 2 5488 6312
3 2 6312 6532
2 2 6532 6560
3 3 6320 6536
4 3 5504 6328
3 3 6328 6536
4 4 5520 6336
5 3 3808 5536
4 3 5536 6336
3 3 6336 6536
4 4 5552 6344
5 4 3840 5568
4 4 5568 6344
5 5 3872 5584
6 2 1792 3904
5 2 3904 5584
4 2 5584 6344
3 2 6344 6536
2 2 6536 6560
3 3 6352 6540
4 3 5600 6360
3 3 6360 6540
4 4 5616 6368
5 3 3936 5632
4 3 5632 6368
3 3 6368 6540
4 4 5648 6376
5 4 3968 5664
4 4 5664 6376
5 5 4000 5680
6 3 1856 4032
5 3 4032 5680
4 3 5680 6376
3 3 6376 6540
4 4 5696 6384
5 4 4064 5712
4 4 5712 6384
5 5 4096 5728
6 4 1920 4128
5 4 4128 5728
4 4 5728 6384
5 5 4160 5744
6 5 1984 4192
5 5 4192 5744
6 6 2048 4224
7 2 512 2112
6 2 2112 4224
5 2 4224 5744
4 2 5744 6384
3 2 6384 6540
2 2 6540 6560
3 3 6392 6544
4 3 5760 6400
3 3 6400 6544
4 4 5776 6408
5 3 4256 5792
4 3 5792 6408
3 3 6408 6544
4 4 5808 6416
5 4 4288 5824
4 4 5824 6416
5 5 4320 5840
6 3 2176 4352
5 3 4352 5840
4 3 5840 6416
3 3 6416 6544
4 4 5856 6424
5 4 4384 5872
4 4 5872 6424
5 5 4416 5888
6 4 2240 4448
5 4 4448 5888
4 4 5888 6424
5 5 4480 5904
6 5 2304 4512
5 5 4512 5904
6 6 2368 4544
7 3 640 2432
6 3 2432 4544
5 3 4544 5904
4 3 5904 6424
3 3 6424 6544
4 4 5920 6432
5 4 4576 5936
4 4 5936 6432
5 5 4608 5952
6 4 2496 4640
5 4 4640 5952
4 4 5952 6432
5 5 4672 5968
6 5 2560 4704
5 5 4704 5968
6 6 2624 4736
7 4 768 2688
6 4 2688 4736
5 4 4736 5968
4 4 5968 6432
5 5 4768 5984
6 5 2752 4800
5 5 4800 5984
6 6 2816 4832
7 5 896 2880
6 5 2880 4832
5 5 4832 5984
6 6 2944 4864
7 6 1024 3008
6 6 3008 4864
7 7 1152 3072
