# rem_bits first_diff input_index output_index
8 0 0 256
7 0 256 1280
7 1 384 1728
7 2 512 2112
7 3 640 2432
7 4 768 2688
7 5 896 2880
7 6 1024 3008
7 7 1152 3072
6 0 1280 3072
6 1 1344 3264
6 2 1408 3424
6 3 1472 3552
6 4 1536 3648
6 5 1600 3712
6 6 1664 3744
6 1 1728 3744
6 2 1792 3904
6 3 1856 4032
6 4 1920 4128
6 5 1984 4192
6 6 2048 4224
6 2 2112 4224
6 3 2176 4352
6 4 2240 4448
6 5 2304 4512
6 6 2368 4544
6 3 2432 4544
6 4 2496 4640
6 5 2560 4704
6 6 2624 4736
6 4 2688 4736
6 5 2752 4800
6 6 2816 4832
6 5 2880 4832
6 6 2944 4864
6 6 3008 4864
5 0 3072 4864
5 1 3104 4944
5 2 3136 5008
5 3 3168 5056
5 4 3200 5088
5 5 3232 5104
5 1 3264 5104
5 2 3296 5168
5 3 3328 5216
5 4 3360 5248
5 5 3392 5264
5 2 3424 5264
5 3 3456 5312
5 4 3488 5344
5 5 3520 5360
5 3 3552 5360
5 4 3584 5392
5 5 3616 5408
5 4 3648 5408
5 5 3680 5424
5 5 3712 5424
5 1 3744 5424
5 2 3776 5488
5 3 3808 5536
5 4 3840 5568
5 5 3872 5584
5 2 3904 5584
5 3 3936 5632
5 4 3968 5664
5 5 4000 5680
5 3 4032 5680
5 4 4064 5712
5 5 4096 5728
5 4 4128 5728
5 5 4160 5744
5 5 4192 5744
5 2 4224 5744
5 3 4256 5792
5 4 4288 5824
5 5 4320 5840
5 3 4352 5840
5 4 4384 5872
5 5 4416 5888
5 4 4448 5888
5 5 4480 5904
5 5 4512 5904
5 3 4544 5904
5 4 4576 5936
5 5 4608 5952
5 4 4640 5952
5 5 4672 5968
5 5 4704 5968
5 4 4736 5968
5 5 4768 5984
5 5 4800 5984
5 5 4832 5984
4 0 4864 5984
4 1 4880 6016
4 2 4896 6040
4 3 4912 6056
4 4 4928 6064
4 1 4944 6064
4 2 4960 6088
4 3 4976 6104
4 4 4992 6112
4 2 5008 6112
4 3 5024 6128
4 4 5040 6136
4 3 5056 6136
4 4 5072 6144
4 4 5088 6144
4 1 5104 6144
4 2 5120 6168
4 3 5136 6184
4 4 5152 6192
4 2 5168 6192
4 3 5184 6208
4 4 5200 6216
4 3 5216 6216
4 4 5232 6224
4 4 5248 6224
4 2 5264 6224
4 3 5280 6240
4 4 5296 6248
4 3 5312 6248
4 4 5328 6256
4 4 5344 6256
4 3 5360 6256
4 4 5376 6264
4 4 5392 6264
4 4 5408 6264
4 1 5424 6264
4 2 5440 6288
4 3 5456 6304
4 4 5472 6312
4 2 5488 6312
4 3 5504 6328
4 4 5520 6336
4 3 5536 6336
4 4 5552 6344
4 4 5568 6344
4 2 5584 6344
4 3 5600 6360
4 4 5616 6368
4 3 5632 6368
4 4 5648 6376
4 4 5664 6376
4 3 5680 6376
4 4 5696 6384
4 4 5712 6384
4 4 5728 6384
4 2 5744 6384
4 3 5760 6400
4 4 5776 6408
4 3 5792 6408
4 4 5808 6416
4 4 5824 6416
4 3 5840 6416
4 4 5856 6424
4 4 5872 6424
4 4 5888 6424
4 3 5904 6424
4 4 5920 6432
4 4 5936 6432
4 4 5952 6432
4 4 5968 6432
3 0 5984 6432
3 1 5992 6444
3 2 6000 6452
3 3 6008 6456
3 1 6016 6456
3 2 6024 6464
3 3 6032 6468
3 2 6040 6468
3 3 6048 6472
3 3 6056 6472
3 1 6064 6472
3 2 6072 6480
3 3 6080 6484
3 2 6088 6484
3 3 6096 6488
3 3 6104 6488
3 2 6112 6488
3 3 6120 6492
3 3 6128 6492
3 3 6136 6492
3 1 6144 6492
3 2 6152 6500
3 3 6160 6504
3 2 6168 6504
3 3 6176 6508
3 3 6184 6508
3 2 6192 6508
3 3 6200 6512
3 3 6208 6512
3 3 6216 6512
3 2 6224 6512
3 3 6232 6516
3 3 6240 6516
3 3 6248 6516
3 3 6256 6516
3 1 6264 6516
3 2 6272 6524
3 3 6280 6528
3 2 6288 6528
3 3 6296 6532
3 3 6304 6532
3 2 6312 6532
3 3 6320 6536
3 3 6328 6536
3 3 6336 6536
3 2 6344 6536
3 3 6352 6540
3 3 6360 6540
3 3 6368 6540
3 3 6376 6540
3 2 6384 6540
3 3 6392 6544
3 3 6400 6544
3 3 6408 6544
3 3 6416 6544
3 3 6424 6544
2 0 6432 6544
2 1 6436 6548
2 2 6440 6550
2 1 6444 6550
2 2 6448 6552
2 2 6452 6552
2 1 6456 6552
2 2 6460 6554
2 2 6464 6554
2 2 6468 6554
2 1 6472 6554
2 2 6476 6556
2 2 6480 6556
2 2 6484 6556
2 2 6488 6556
2 1 6492 6556
2 2 6496 6558
2 2 6500 6558
2 2 6504 6558
2 2 6508 6558
2 2 6512 6558
2 1 6516 6558
2 2 6520 6560
2 2 6524 6560
2 2 6528 6560
2 2 6532 6560
2 2 6536 6560
2 2 6540 6560
1 0 6544 6560
1 1 6546 6561
1 1 6548 6561
1 1 6550 6561
1 1 6552 6561
1 1 6554 6561
1 1 6556 6561
1 1 6558 6561
0 0 6560 6561
