"Function / Call Stack","CPU Time","Module","Function (Full)","Source File","Start Address"
"_mm256_store_si256","0.705008","prime_implicants","_mm256_store_si256","avxintrin.h","0x359c"
"_mm256_store_si256","0.696023","prime_implicants","_mm256_store_si256","avxintrin.h","0x3cdc"
"merge_implicants_avx2","0.403119","prime_implicants","merge_implicants_avx2","avx2.c","0x3400"
"_mm256_store_si256","0.254754","prime_implicants","_mm256_store_si256","avxintrin.h","0x3698"
"merge_avx2_single_register","0.219837","prime_implicants","merge_avx2_single_register","avx2.c","0x3437"
"_mm256_and_si256","0.195812","prime_implicants","_mm256_and_si256","avx2intrin.h","0x344c"
"_mm256_and_si256","0.111802","prime_implicants","_mm256_and_si256","avx2intrin.h","0x34a6"
"_mm256_or_si256","0.103951","prime_implicants","_mm256_or_si256","avx2intrin.h","0x3590"
"_mm256_and_si256","0.103947","prime_implicants","_mm256_and_si256","avx2intrin.h","0x3437"
"binomial_coefficient","0.0919985","prime_implicants","binomial_coefficient","util.h","0x3b5f"
"_mm256_srli_epi64","0.0837252","prime_implicants","_mm256_srli_epi64","avx2intrin.h","0x34e0"
"_mm256_and_si256","0.0799504","prime_implicants","_mm256_and_si256","avx2intrin.h","0x352c"
"_mm256_or_si256","0.0760139","prime_implicants","_mm256_or_si256","avx2intrin.h","0x3598"
"_mm256_andnot_si256","0.0680014","prime_implicants","_mm256_andnot_si256","avx2intrin.h","0x3ccd"
"leading_stars","0.0679938","prime_implicants","leading_stars","common.h","0x3b30"
"_mm256_and_si256","0.0559946","prime_implicants","_mm256_and_si256","avx2intrin.h","0x34f9"
"_mm256_or_si256","0.054058","prime_implicants","_mm256_or_si256","avx2intrin.h","0x3686"
"[Outside any known module]","0.0487955","[Unknown]","[Outside any known module]","[Unknown]","0"
"_mm256_or_si256","0.0440589","prime_implicants","_mm256_or_si256","avx2intrin.h","0x3582"
"_mm256_and_si256","0.0437558","prime_implicants","_mm256_and_si256","avx2intrin.h","0x367a"
"_mcount","0.0320341","libc.so.6","_mcount","_mcount.S","0x114860"
"_mm256_srli_epi64","0.0320267","prime_implicants","_mm256_srli_epi64","avx2intrin.h","0x356e"
"_mm256_permute4x64_epi64","0.0319971","prime_implicants","_mm256_permute4x64_epi64","avx2intrin.h","0x358a"
"_mm256_and_si256","0.03198","prime_implicants","_mm256_and_si256","avx2intrin.h","0x350a"
"_mm256_srli_epi64","0.0279976","prime_implicants","_mm256_srli_epi64","avx2intrin.h","0x353b"
"_mm256_and_si256","0.0278487","prime_implicants","_mm256_and_si256","avx2intrin.h","0x34eb"
"prime_implicants_avx2","0.0239781","prime_implicants","prime_implicants_avx2","avx2.c","0x3960"
"_mm256_or_si256","0.0199994","prime_implicants","_mm256_or_si256","avx2intrin.h","0x3557"
"_mm256_store_si256","0.0199987","prime_implicants","_mm256_store_si256","avxintrin.h","0x368a"
"_mm256_srli_si256","0.0198954","prime_implicants","_mm256_srli_si256","avx2intrin.h","0x357d"
"_mm256_and_si256","0.015998","prime_implicants","_mm256_and_si256","avx2intrin.h","0x36fe"
"_mm256_or_si256","0.0120484","prime_implicants","_mm256_or_si256","avx2intrin.h","0x3523"
"_mm256_srli_epi64","0.0118156","prime_implicants","_mm256_srli_epi64","avx2intrin.h","0x3552"
"_mm256_or_si256","0.00800005","prime_implicants","_mm256_or_si256","avx2intrin.h","0x3574"
"_mm256_slli_si256","0.00799881","prime_implicants","_mm256_slli_si256","avx2intrin.h","0x360d"
"_mm256_slli_epi64","0.00774226","prime_implicants","_mm256_slli_epi64","avx2intrin.h","0x3594"
