"Function / Call Stack","CPU Time","Memory Bound","Memory Bound","Loads","Stores","LLC Miss Count","Average Latency (cycles)","Module","Function (Full)","Source File","Start Address"
"merge_avx2_single_register","0.345536","0","0","0","0","0","0","prime_implicants","merge_avx2_single_register","avx2.c","0x3437"
"merge_implicants_avx2","0.324442","0.1","0","175277306","97335151","0","4.87805","prime_implicants","merge_implicants_avx2","avx2.c","0x3400"
"clear_page_erms","0.174777","0.790698","0.314815","2770428","9242566","0","0","vmlinux","clear_page_erms","[Unknown]","0xffffffff9c68bd10"
"_raw_spin_lock","0.154688","0.982456","0","6464332","5911027","0","5","vmlinux","_raw_spin_lock","[Unknown]","0xffffffff9c6f80b0"
"_mm256_andnot_si256","0.111496","0.473684","0.274194","86444379","370171","8314524","112.833","prime_implicants","_mm256_andnot_si256","avx2intrin.h","0x3ccd"
"_mm256_load_si256","0.101451","0.371429","0.137097","497757467","0","0","5.41975","prime_implicants","_mm256_load_si256","avxintrin.h","0x348f"
"_mm256_store_si256","0.0883929","0.12","0.166475","0","38789895","0","0","prime_implicants","_mm256_store_si256","avxintrin.h","0x3cdc"
"_mm256_store_si256","0.0733259","0","0","0","394335961","0","0","prime_implicants","_mm256_store_si256","avxintrin.h","0x359c"
"native_irq_return_iret","0.0652902","0","0","0","0","0","5","vmlinux","native_irq_return_iret","[Unknown]","0xffffffff9c801928"
"__list_del_entry_valid_or_report","0.0612723","0.88","","15145787","0","923836","5","vmlinux","__list_del_entry_valid_or_report","[Unknown]","0xffffffff9c0a5bc0"
"sync_regs","0.0592634","0","0","0","11451883","0","8.5","vmlinux","sync_regs","[Unknown]","0xffffffff9c6e59f0"
"_mm256_and_si256","0.05625","0.35","0","286094426","0","0","5","prime_implicants","_mm256_and_si256","avx2intrin.h","0x367a"
"_mm256_srli_epi64","0.0532366","0","0","0","0","0","0","prime_implicants","_mm256_srli_epi64","avx2intrin.h","0x34e0"
"_mm256_or_si256","0.0472098","0","0","0","0","0","0","prime_implicants","_mm256_or_si256","avx2intrin.h","0x3590"
