"Function / Call Stack","CPU Time","Memory Bound","Memory Bound","Loads","Stores","LLC Miss Count","Average Latency (cycles)","Module","Function (Full)","Source File","Start Address"
"merge_implicants_bits","2.01897","0.0341753","0","5289600877","3394900931","0","4.35457","prime_implicants","merge_implicants_bits","bits.c","0x4380"
"clear_page_erms","0.28125","1","0.404572","3921428","325111","0","0","vmlinux","clear_page_erms","[Unknown]","0xffffffff9c68bd10"
"prime_implicants_bits","0.244085","0.678363","0.668935","252932106","175809014","6865166","101.278","prime_implicants","prime_implicants_bits","bits.c","0x59a0"
"_raw_spin_lock","0.0381696","0.792453","0","4901785","2941071","0","0","vmlinux","_raw_spin_lock","[Unknown]","0xffffffff9c6f80b0"
"__free_one_page","0.028125","0","0","36273209","64703562","980738","2.5","vmlinux","__free_one_page","[Unknown]","0xffffffff9bda1040"
"unmap_page_range","0.0271205","0","0","28430353","18626783","490369","4","vmlinux","unmap_page_range","[Unknown]","0xffffffff9bd70010"
"__list_del_entry_valid_or_report","0.0241071","0.772727","","20587497","0","0","5","vmlinux","__list_del_entry_valid_or_report","[Unknown]","0xffffffff9c0a5bc0"
"binomial_coefficient","0.0170759","0","0","98685922","0","0","5","prime_implicants","binomial_coefficient","util.h","0x5bb5"
"native_irq_return_iret","0.0170759","0","0","0","0","0","5","vmlinux","native_irq_return_iret","[Unknown]","0xffffffff9c801928"
"sync_regs","0.0160714","0","0","2941071","8823213","0","5","vmlinux","sync_regs","[Unknown]","0xffffffff9c6e59f0"
"native_flush_tlb_one_user","0.015067","0","0","1960714","980357","0","0","vmlinux","native_flush_tlb_one_user","[Unknown]","0xffffffff9baa63e0"
"leading_stars","0.013058","0","0","8823213","0","0","0","prime_implicants","leading_stars","common.h","0x5b88"
"__mod_memcg_lruvec_state","0.0120536","0","0","80389274","80389274","0","4.5","vmlinux","__mod_memcg_lruvec_state","[Unknown]","0xffffffff9be0b0e0"
"do_wp_page","0.0110491","1","0","9803570","16666069","0","5","vmlinux","do_wp_page","[Unknown]","0xffffffff9bd71df0"
"__rmqueue_pcplist","0.0100446","0.166667","","21567854","19277005","0","5","vmlinux","__rmqueue_pcplist","[Unknown]","0xffffffff9bda36e0"
"prep_new_page","0.00904018","0.714286","0","7842856","3921428","0","5","vmlinux","prep_new_page","[Unknown]","0xffffffff9bd9fce0"
