"Function / Call Stack","CPU Time","Memory Bound","Memory Bound","Loads","Stores","LLC Miss Count","Average Latency (cycles)","Module","Function (Full)","Source File","Start Address"
"merge_implicants_pext","2.02199","0.0329087","0.0281046","4415029392","3228667952","0","6.94611","prime_implicants","merge_implicants_pext","pext.c","0x5e80"
"clear_page_erms","0.238058","0.739496","0.985418","3250964","35244040","0","5","vmlinux","clear_page_erms","[Unknown]","0xffffffff9c68bd10"
"prime_implicants_pext","0.175781","0.41","0.706107","421158746","284256022","7356345","46.2523","prime_implicants","prime_implicants_pext","pext.c","0x7080"
"_raw_spin_lock","0.0672991","0.921053","0","3921856","1960928","0","0","vmlinux","_raw_spin_lock","[Unknown]","0xffffffff9c6f80b0"
"__list_del_entry_valid_or_report","0.05625","0.789474","","9804640","0","0","36.2857","vmlinux","__list_del_entry_valid_or_report","[Unknown]","0xffffffff9c0a5bc0"
"native_irq_return_iret","0.0472098","0.0416667","","0","0","0","5","vmlinux","native_irq_return_iret","[Unknown]","0xffffffff9c801928"
"sync_regs","0.0351563","0","0","1960928","8824176","0","5","vmlinux","sync_regs","[Unknown]","0xffffffff9c6e59f0"
"native_flush_tlb_one_user","0.028125","0","0","0","0","0","0","vmlinux","native_flush_tlb_one_user","[Unknown]","0xffffffff9baa63e0"
"binomial_coefficient","0.0271205","0","0","35296704","0","0","5","prime_implicants","binomial_coefficient","util.h","0x7275"
"do_wp_page","0.0241071","0.857143","0","8824176","20589744","0","5","vmlinux","do_wp_page","[Unknown]","0xffffffff9bd71df0"
"leading_stars","0.0160714","0","0","2941392","0","0","0","prime_implicants","leading_stars","common.h","0x7248"
"__mod_memcg_lruvec_state","0.0140625","0","0","39218560","57847376","0","5","vmlinux","__mod_memcg_lruvec_state","[Unknown]","0xffffffff9be0b0e0"
"__rmqueue_pcplist","0.013058","0.333333","","15687424","30394384","0","4.09091","vmlinux","__rmqueue_pcplist","[Unknown]","0xffffffff9bda36e0"
"do_anonymous_page","0.013058","1","0","10785104","10785104","0","5","vmlinux","do_anonymous_page","[Unknown]","0xffffffff9bd78030"
"__rcu_read_unlock","0.0120536","0","0","19609280","14706960","0","5","vmlinux","__rcu_read_unlock","[Unknown]","0xffffffff9bb770a0"
"__pte_offset_map_lock","0.0120536","0.75","0","5882784","7843712","0","0","vmlinux","__pte_offset_map_lock","[Unknown]","0xffffffff9bd8c140"
"prep_new_page","0.00904018","0.333333","0","5882784","7843712","0","0","vmlinux","prep_new_page","[Unknown]","0xffffffff9bd9fce0"
"__mcount_internal","0.00904018","0.25","0","9804640","36277168","0","5","libc.so.6","__mcount_internal","mcount.c","0x113d20"
"__rcu_read_lock","0.00803571","1","0","20589744","18628816","0","5","vmlinux","__rcu_read_lock","[Unknown]","0xffffffff9bb73e50"
"__folio_batch_add_and_move","0.00703125","1","0","0","1960928","0","5","vmlinux","__folio_batch_add_and_move","[Unknown]","0xffffffff9bd2df00"
"down_read_trylock","0.00703125","0","0","4902320","6863248","0","5","vmlinux","down_read_trylock","[Unknown]","0xffffffff9bb46740"
"get_page_from_freelist","0.00703125","0.333333","0","23531136","23531136","0","5","vmlinux","get_page_from_freelist","[Unknown]","0xffffffff9bda5720"
"_mcount","0.00602679","0","0","14706960","19609280","0","3.75","libc.so.6","_mcount","_mcount.S","0x114860"
"mas_walk","0.00602679","0","","9804640","10785104","0","5","vmlinux","mas_walk","[Unknown]","0xffffffff9c66d9e0"
"get_mem_cgroup_from_mm","0.00602679","0","0","1960928","8824176","0","0","vmlinux","get_mem_cgroup_from_mm","[Unknown]","0xffffffff9be0b780"
"lru_gen_add_folio","0.00602679","0","0","11765568","13726496","0","5","vmlinux","lru_gen_add_folio","[Unknown]","0xffffffff9bd2c440"
"__handle_mm_fault","0.00602679","0","0","8824176","19609280","0","5","vmlinux","__handle_mm_fault","[Unknown]","0xffffffff9bd79d00"
"folio_add_lru","0.00602679","","0","980464","980464","0","0","vmlinux","folio_add_lru","[Unknown]","0xffffffff9bd2dfc0"
"__mem_cgroup_charge","0.00502232","1","0","5882784","8824176","0","5","vmlinux","__mem_cgroup_charge","[Unknown]","0xffffffff9be104e0"
"page_counter_try_charge","0.00502232","0","0","980464","980464","0","0","vmlinux","page_counter_try_charge","[Unknown]","0xffffffff9be08ee0"
"__pte_offset_map","0.00401786","1","0","5882784","2941392","0","5","vmlinux","__pte_offset_map","[Unknown]","0xffffffff9bd8bee0"
"blk_cgroup_congested","0.00401786","1","0","2941392","6863248","0","5","vmlinux","blk_cgroup_congested","[Unknown]","0xffffffff9c048e20"
"flush_tlb_mm_range","0.00401786","1","0","3921856","4902320","0","5","vmlinux","flush_tlb_mm_range","[Unknown]","0xffffffff9baa60c0"
"error_entry","0.00301339","0","0","0","1960928","0","0","vmlinux","error_entry","[Unknown]","0xffffffff9c801c30"
"folio_batch_move_lru","0.00301339","1","0","4902320","3921856","0","5","vmlinux","folio_batch_move_lru","[Unknown]","0xffffffff9bd2dde0"
"common_interrupt_return","0.00301339","1","0","8824176","0","0","5","vmlinux","common_interrupt_return","[Unknown]","0xffffffff9c801830"
"native_write_msr","0.00301339","0","0","0","0","0","0","vmlinux","native_write_msr","[Unknown]","0xffffffff9ba97230"
"__next_zones_zonelist","0.00301339","0","0","1960928","0","0","5","vmlinux","__next_zones_zonelist","[Unknown]","0xffffffff9bd4c3c0"
"__count_memcg_events","0.00301339","0","0","15687424","8824176","0","5","vmlinux","__count_memcg_events","[Unknown]","0xffffffff9be0d480"
"access_error","0.00301339","0","0","4902320","0","0","5","vmlinux","access_error","[Unknown]","0xffffffff9baa12c0"
"try_charge_memcg","0.00301339","0","0","2941392","9804640","0","5","vmlinux","try_charge_memcg","[Unknown]","0xffffffff9be0e870"
"lru_add","0.00200893","0.5","0","1960928","10785104","0","71.6667","vmlinux","lru_add","[Unknown]","0xffffffff9bd2c9d0"
"native_read_msr_safe","0.00200893","0","0","0","0","0","0","vmlinux","native_read_msr_safe","[Unknown]","0xffffffff9ba96ff0"
"pv_native_get_debugreg","0.00200893","0","0","0","0","0","0","vmlinux","pv_native_get_debugreg","[Unknown]","0xffffffff9c6e9080"
"pfn_pte","0.00200893","0","0","0","0","0","235","vmlinux","pfn_pte","[Unknown]","0xffffffff9bd6e320"
"vma_alloc_folio_noprof","0.00200893","0","0","4902320","3921856","0","5","vmlinux","vma_alloc_folio_noprof","[Unknown]","0xffffffff9bddeb20"
"flush_tlb_func","0.00200893","0","0","980464","4902320","0","5","vmlinux","flush_tlb_func","[Unknown]","0xffffffff9baa5b70"
"irqentry_exit_to_user_mode","0.00200893","0","0","980464","4902320","0","0","vmlinux","irqentry_exit_to_user_mode","[Unknown]","0xffffffff9c6e9ae0"
"__cond_resched","0.00200893","0","0","1960928","0","0","5","vmlinux","__cond_resched","[Unknown]","0xffffffff9c6f0330"
"policy_nodemask","0.00200893","0","0","4902320","9804640","0","0","vmlinux","policy_nodemask","[Unknown]","0xffffffff9bddb8c0"
"perf_event_nmi_handler","0.00200893","0","0","0","980464","0","0","vmlinux","perf_event_nmi_handler","[Unknown]","0xffffffff9ba0ec50"
"__mod_node_page_state","0.00200893","1","0","4902320","6863248","0","5","vmlinux","__mod_node_page_state","[Unknown]","0xffffffff9bd4d880"
"native_read_msr","0.00200893","0","0","0","0","0","0","vmlinux","native_read_msr","[Unknown]","0xffffffff9ba97050"
"folios_put_refs","0.00200893","0","0","13726496","6863248","0","5","vmlinux","folios_put_refs","[Unknown]","0xffffffff9bd2dbd0"
"handle_mm_fault","0.00200893","0","0","6863248","13726496","0","5","vmlinux","handle_mm_fault","[Unknown]","0xffffffff9bd7acb0"
"ptep_clear_flush","0.00200893","0","0","0","980464","0","5","vmlinux","ptep_clear_flush","[Unknown]","0xffffffff9bd8b9e0"
"steal_suitable_fallback","0.00200893","","0","0","0","0","5","vmlinux","steal_suitable_fallback","[Unknown]","0xffffffff9bda06b0"
"folio_add_new_anon_rmap","0.00200893","0","0","5882784","4902320","0","5","vmlinux","folio_add_new_anon_rmap","[Unknown]","0xffffffff9bd8e780"
"pte_write","0.00200893","0","0","0","0","0","0","vmlinux","pte_write","[Unknown]","0xffffffff9bd6c810"
"_find_first_bit","0.00200893","0","0","0","0","0","0","vmlinux","_find_first_bit","[Unknown]","0xffffffff9c08ef90"
"pte_offset_map_nolock","0.00200893","0","0","2941392","10785104","0","5","vmlinux","pte_offset_map_nolock","[Unknown]","0xffffffff9bd8c070"
"folio_alloc_mpol_noprof","0.00100446","0","0","980464","0","0","0","vmlinux","folio_alloc_mpol_noprof","[Unknown]","0xffffffff9bdde990"
"pte_val","0.00100446","0","0","4902320","0","0","0","vmlinux","pte_val","[Unknown]","0xffffffff9bd6c7b0"
"psi_task_change","0.00100446","0","0","0","0","0","0","vmlinux","psi_task_change","[Unknown]","0xffffffff9bb44020"
"asm_exc_page_fault","0.00100446","0","","980464","3921856","0","0","vmlinux","asm_exc_page_fault","[Unknown]","0xffffffff9c801280"
"__flush_smp_call_function_queue","0.00100446","0","0","0","0","0","0","vmlinux","__flush_smp_call_function_queue","[Unknown]","0xffffffff9bbc09b0"
"__vmf_anon_prepare","0.00100446","0","0","3921856","0","0","5","vmlinux","__vmf_anon_prepare","[Unknown]","0xffffffff9bd71d20"
"default_do_nmi","0.00100446","0","0","0","0","0","0","vmlinux","default_do_nmi","[Unknown]","0xffffffff9c6e63f0"
"trace_rss_stat","0.00100446","0","0","0","0","0","0","vmlinux","trace_rss_stat","[Unknown]","0xffffffff9bd6ca10"
"folio_referenced","0.00100446","0","0","0","0","0","0","vmlinux","folio_referenced","[Unknown]","0xffffffff9bd8e2f0"
"memset","0.00100446","0","0","0","0","0","0","vmlinux","memset","[Unknown]","0xffffffff9c6eac40"
"collect_signal","0.00100446","0","0","0","0","0","0","vmlinux","collect_signal","[Unknown]","0xffffffff9bad3dc0"
"hrtimer_active","0.00100446","0","0","0","0","0","0","vmlinux","hrtimer_active","[Unknown]","0xffffffff9bb9dd70"
"zone_reclaimable_pages","0.00100446","0","0","0","0","0","0","vmlinux","zone_reclaimable_pages","[Unknown]","0xffffffff9bd3b3c0"
"folio_rotate_reclaimable","0.00100446","0","0","0","0","0","0","vmlinux","folio_rotate_reclaimable","[Unknown]","0xffffffff9bd2e450"
"free_pcppages_bulk","0.00100446","0","0","10785104","5882784","0","3.75","vmlinux","free_pcppages_bulk","[Unknown]","0xffffffff9bda1fe0"
"kmem_cache_free","0.00100446","0","0","0","0","0","0","vmlinux","kmem_cache_free","[Unknown]","0xffffffff9bdb6500"
"irqentry_enter_from_user_mode","0.00100446","0","0","980464","0","0","0","vmlinux","irqentry_enter_from_user_mode","[Unknown]","0xffffffff9c6e9a30"
"_raw_spin_trylock","0.00100446","0","0","7843712","1960928","0","5","vmlinux","_raw_spin_trylock","[Unknown]","0xffffffff9c6f7a50"
"set_shrinker_bit","0.00100446","0","0","0","0","0","0","vmlinux","set_shrinker_bit","[Unknown]","0xffffffff9bd41940"
"__folio_throttle_swaprate","0.00100446","","0","980464","1960928","0","0","vmlinux","__folio_throttle_swaprate","[Unknown]","0xffffffff9bdc8b40"
"do_user_addr_fault","0.00100446","0","0","3921856","21570208","0","5","vmlinux","do_user_addr_fault","[Unknown]","0xffffffff9baa1db0"
"up_read","0.00100446","0","0","1960928","3921856","0","5","vmlinux","up_read","[Unknown]","0xffffffff9bb46ca0"
"__lruvec_stat_mod_folio","0.00100446","1","","2941392","6863248","0","5","vmlinux","__lruvec_stat_mod_folio","[Unknown]","0xffffffff9be0b6a0"
"__folio_mod_stat","0.00100446","0","0","3921856","0","0","0","vmlinux","__folio_mod_stat","[Unknown]","0xffffffff9bd8d0d0"
"__alloc_pages_noprof","0.00100446","0","0","4902320","17648352","0","5","vmlinux","__alloc_pages_noprof","[Unknown]","0xffffffff9bda7d00"
"cgroup_rstat_updated","0.00100446","0","0","16667888","9804640","0","6.2","vmlinux","cgroup_rstat_updated","[Unknown]","0xffffffff9bbd6c40"
"lock_vma_under_rcu","0.00100446","0","","9804640","8824176","0","5","vmlinux","lock_vma_under_rcu","[Unknown]","0xffffffff9bd73fb0"
"native_sched_clock","0.00100446","0","0","0","0","0","0","vmlinux","native_sched_clock","[Unknown]","0xffffffff9c6e69b0"
"asm_exc_nmi","0.00100446","0","0","980464","1960928","0","0","vmlinux","asm_exc_nmi","[Unknown]","0xffffffff9c801d90"
"split_huge_pmd_locked","0.00100446","0","0","0","0","0","0","vmlinux","split_huge_pmd_locked","[Unknown]","0xffffffff9bdfbcb0"
"merge_implicants_bits3","0.00100446","0","0","980464","0","0","0","prime_implicants","merge_implicants_bits3","pext.c","0x6055"
"func@0x20d0","0.00100446","0","0","1960928","0","0","5","prime_implicants","func@0x20d0","[Unknown]","0x20d0"
"mem_cgroup_from_task","0.00100446","0","0","0","0","0","0","vmlinux","mem_cgroup_from_task","[Unknown]","0xffffffff9be09460"
"__mod_lruvec_state","0.00100446","0","0","1960928","2941392","0","5","vmlinux","__mod_lruvec_state","[Unknown]","0xffffffff9be0d430"
"_raw_spin_lock_irqsave","0.00100446","0","0","3921856","1960928","0","5","vmlinux","_raw_spin_lock_irqsave","[Unknown]","0xffffffff9c6f79f0"
"uncharge_folio","0","0","0","9804640","8824176","0","5","vmlinux","uncharge_folio","[Unknown]","0xffffffff9be0d180"
"exc_nmi","0","0","0","0","1960928","0","0","vmlinux","exc_nmi","[Unknown]","0xffffffff9c6e6530"
"__page_cache_release.part.0","0","0","0","4902320","13726496","0","0","vmlinux","__page_cache_release.part.0","[Unknown]","0xffffffff9bd2d9c0"
"unmap_page_range","0","","0","12746032","11765568","490423","5","vmlinux","unmap_page_range","[Unknown]","0xffffffff9bd70010"
"lru_gen_del_folio.constprop.0","0","0","0","9804640","13726496","0","0","vmlinux","lru_gen_del_folio.constprop.0","[Unknown]","0xffffffff9bd2c290"
"tlb_finish_mmu","0","0","0","980464","0","0","0","vmlinux","tlb_finish_mmu","[Unknown]","0xffffffff9bd84080"
"free_pages_and_swap_cache","0","","0","980464","3921856","0","0","vmlinux","free_pages_and_swap_cache","[Unknown]","0xffffffff9bdc0b20"
"folio_lruvec_lock_irqsave","0","0","0","0","980464","0","0","vmlinux","folio_lruvec_lock_irqsave","[Unknown]","0xffffffff9be0df80"
"get_pfnblock_flags_mask","0","0","0","6863248","0","0","5","vmlinux","get_pfnblock_flags_mask","[Unknown]","0xffffffff9bd9fea0"
"free_unref_page_commit","0","0","0","11765568","17648352","0","3.75","vmlinux","free_unref_page_commit","[Unknown]","0xffffffff9bda2540"
"percpu_counter_add_batch","0","0","0","1960928","1960928","0","0","vmlinux","percpu_counter_add_batch","[Unknown]","0xffffffff9c136bf0"
"early_xen_iret_patch","0","0","0","0","0","0","5","vmlinux","early_xen_iret_patch","[Unknown]","0xffffffff9c80191c"
"__tlb_remove_folio_pages","0","0","0","3921856","980464","0","5","vmlinux","__tlb_remove_folio_pages","[Unknown]","0xffffffff9bd83ad0"
"lru_add_drain_cpu","0","0","0","0","0","0","5","vmlinux","lru_add_drain_cpu","[Unknown]","0xffffffff9bd2e730"
"free_tail_page_prepare","0","0","0","14706960","3921856","0","0","vmlinux","free_tail_page_prepare","[Unknown]","0xffffffff9bd9ef30"
"free_swap_cache","0","0","0","4902320","0","0","49.5","vmlinux","free_swap_cache","[Unknown]","0xffffffff9bdc0a20"
"free_unref_folios","0","0","0","13726496","24511600","0","5","vmlinux","free_unref_folios","[Unknown]","0xffffffff9bda4bc0"
"folio_remove_rmap_ptes","0","","0","5882784","13726496","0","5","vmlinux","folio_remove_rmap_ptes","[Unknown]","0xffffffff9bd8ea70"
"arch_check_zapped_pte","0","0","0","980464","0","0","0","vmlinux","arch_check_zapped_pte","[Unknown]","0xffffffff9baa5040"
"cpuset_node_allowed","0","0","0","980464","0","0","0","vmlinux","cpuset_node_allowed","[Unknown]","0xffffffff9bbe4ee0"
"__tlb_remove_page_size","0","0","0","980464","0","0","0","vmlinux","__tlb_remove_page_size","[Unknown]","0xffffffff9bd83b60"
"free_unref_page","0","0","0","980464","0","0","0","vmlinux","free_unref_page","[Unknown]","0xffffffff9bda4170"
"pte_mkwrite","0","0","0","980464","0","0","0","vmlinux","pte_mkwrite","[Unknown]","0xffffffff9baa4fa0"
"vm_normal_page","0","0","0","3921856","2941392","0","0","vmlinux","vm_normal_page","[Unknown]","0xffffffff9bd6fc90"
"merge_implicants_bits5","0","0","0","2941392","980464","0","0","prime_implicants","merge_implicants_bits5","pext.c","0x5ec7"
"propagate_protected_usage","0","0","","1960928","0","0","0","vmlinux","propagate_protected_usage","[Unknown]","0xffffffff9be08d50"
"fpregs_assert_state_consistent","0","0","0","980464","0","0","0","vmlinux","fpregs_assert_state_consistent","[Unknown]","0xffffffff9ba50450"
"irqentry_exit","0","0","0","980464","0","0","0","vmlinux","irqentry_exit","[Unknown]","0xffffffff9c6e9cf0"
"folio_mapping","0","0","0","980464","0","0","5","vmlinux","folio_mapping","[Unknown]","0xffffffff9bd4b450"
"count_memcg_events.constprop.0","0","0","0","3921856","2941392","0","0","vmlinux","count_memcg_events.constprop.0","[Unknown]","0xffffffff9bd6cd90"
"alloc_pages_mpol_noprof","0","0","0","6863248","1960928","0","0","vmlinux","alloc_pages_mpol_noprof","[Unknown]","0xffffffff9bdde660"
"_find_next_bit","0","0","0","980464","0","0","0","vmlinux","_find_next_bit","[Unknown]","0xffffffff9c08f1e0"
"__mod_zone_page_state","0","0","0","6863248","7843712","0","5","vmlinux","__mod_zone_page_state","[Unknown]","0xffffffff9bd4dd20"
"sched_clock","0","0","0","0","1960928","0","0","vmlinux","sched_clock","[Unknown]","0xffffffff9ba4d8b0"
"khugepaged_enter_vma","0","0","0","980464","0","0","0","vmlinux","khugepaged_enter_vma","[Unknown]","0xffffffff9be071e0"
"__list_add_valid_or_report","0","0","0","7843712","0","0","5","vmlinux","__list_add_valid_or_report","[Unknown]","0xffffffff9c0a5b60"
"intel_pmu_handle_irq","0","0","0","980464","2941392","0","0","vmlinux","intel_pmu_handle_irq","[Unknown]","0xffffffff9ba1c640"
"pte_pfn","0","0","0","980464","0","0","5","vmlinux","pte_pfn","[Unknown]","0xffffffff9bd6e380"
"exc_page_fault","0","0","","0","7843712","0","0","vmlinux","exc_page_fault","[Unknown]","0xffffffff9c6e9450"
"kthread_blkcg","0","0","0","980464","0","0","0","vmlinux","kthread_blkcg","[Unknown]","0xffffffff9baf4760"
"get_vma_policy","0","0","0","3921856","980464","0","5","vmlinux","get_vma_policy","[Unknown]","0xffffffff9bdde050"
"__fpu_restore_sig","0","0","0","0","0","0","5","vmlinux","__fpu_restore_sig","[Unknown]","0xffffffff9ba52540"
"nmi_handle","0","0","0","0","1960928","0","5","vmlinux","nmi_handle","[Unknown]","0xffffffff9ba44850"
"native_set_pte","0","0","0","3921856","1960928","0","0","vmlinux","native_set_pte","[Unknown]","0xffffffff9ba96d70"
"reweight_entity","0","0","0","0","0","0","5","vmlinux","reweight_entity","[Unknown]","0xffffffff9bb1aa90"
"pud_val","0","0","0","980464","0","0","5","vmlinux","pud_val","[Unknown]","0xffffffff9bd6c7f0"
"irqentry_enter","0","0","0","980464","0","0","0","vmlinux","irqentry_enter","[Unknown]","0xffffffff9c6e9a80"
"__free_one_page","0","0","","17648352","32355312","490423","3.75","vmlinux","__free_one_page","[Unknown]","0xffffffff9bda1040"
"mksaveddirty_shift","0","0","0","980464","0","0","5","vmlinux","mksaveddirty_shift","[Unknown]","0xffffffff9bd6c8f0"
"cond_accept_memory","0","0","0","8824176","3921856","0","5","vmlinux","cond_accept_memory","[Unknown]","0xffffffff9bda1cc0"
"set_ptes.isra.0","0","0","0","980464","3921856","0","0","vmlinux","set_ptes.isra.0","[Unknown]","0xffffffff9bd6e120"
"find_suitable_fallback","0","0","0","2941392","0","0","0","vmlinux","find_suitable_fallback","[Unknown]","0xffffffff9bda3640"
"_raw_spin_unlock","0","0","0","3921856","2941392","0","5","vmlinux","_raw_spin_unlock","[Unknown]","0xffffffff9c6f81c0"
"p4d_offset","0","0","0","980464","0","0","5","vmlinux","p4d_offset","[Unknown]","0xffffffff9bd6ce10"
"dequeue_signal","0","0","0","0","980464","0","0","vmlinux","dequeue_signal","[Unknown]","0xffffffff9bad3f10"
